item_id,item_name,category,abc_class,unit,unit_price_zar,on_current_tender,lead_time_mean_days,shelf_life_months,total_consumption_units,mean_daily_consumption,sd_daily_consumption,number_of_stockout_events,total_stockout_units,total_holding_cost_zar,total_ordering_cost_zar,total_stockout_cost_zar,total_expiry_cost_zar,total_orders_placed,avg_stock_on_hand,coefficient_of_variation,service_level_achieved,total_cost_zar,inventory_value_zar
B04,promethazine 25mg ampoule,medicine,B,ampoule,9.0,True,14,24,1646,4.16,5.32,0,0,1295.94,900.0,0.0,0.0,2,604.05,1.28,1.0,2195.94,5436.45
B05,atropine 1mg ampoule,medicine,B,ampoule,7.5,False,14,36,406,1.03,1.52,10,17,437.55,450.0,2550.0,0.0,1,244.45,1.49,0.96,3437.55,1833.41
B06,plaster of Paris 15cm bandage,consumable,B,roll,18.0,False,21,60,4626,11.68,16.32,54,772,2165.75,2600.0,69480.0,0.0,4,504.63,1.4,0.83,74245.75,9083.26
B07,sterile gauze pack 10x10 cm pack of 5,consumable,B,pack,7.0,True,14,60,33188,83.81,96.93,99,8139,4188.54,3900.0,284865.0,1337.0,6,2505.29,1.16,0.75,294290.54,17537.04
B08,three way stopcock,consumable,B,each,11.5,True,21,60,7826,19.76,22.99,0,0,4137.88,3250.0,0.0,517.5,5,1511.46,1.16,1.0,7905.38,17381.85
B09,urinary catheter Foley 16Fr,consumable,B,each,32.0,True,21,60,2536,6.4,7.57,8,66,3844.55,2600.0,21120.0,0.0,4,504.07,1.18,0.97,27564.55,16130.13
B10,ECG electrodes pack of 50,consumable,B,pack,85.0,False,28,24,696,1.76,2.46,6,9,2330.17,2600.0,3825.0,0.0,4,114.68,1.4,0.99,8755.17,9747.83
B11,suture nylon 3-0 with needle,consumable,B,each,24.0,False,21,48,4261,10.76,13.54,53,573,2515.3,2600.0,137520.0,0.0,4,439.86,1.26,0.87,142635.3,10556.65
B12,Hartmanns solution 1L,medicine,B,bag,22.0,True,7,36,6570,16.59,19.79,169,2801,2848.12,1800.0,616220.0,0.0,4,541.56,1.19,0.57,620868.12,11914.33
C01,snake antivenom polyvalent vial,medicine,C,vial,1850.0,True,30,24,259,0.65,1.15,19,33,11657.16,4050.0,610500.0,0.0,9,26.35,1.76,0.87,626207.16,48754.51
C02,ipratropium nebule 250mcg per mL 2mL,medicine,C,nebule,8.5,False,14,24,1849,4.67,6.19,8,45,878.49,900.0,3825.0,0.0,2,432.71,1.33,0.98,5603.49,3678.06
C03,naloxone 0.4mg ampoule,medicine,C,ampoule,32.0,True,21,24,133,0.34,0.78,0,0,643.7,900.0,0.0,0.0,2,84.33,2.31,1.0,1543.7,2698.59
C04,flucloxacillin 500mg vial,medicine,C,vial,18.0,True,14,24,1065,2.69,3.18,14,47,1218.14,1350.0,12690.0,0.0,3,283.92,1.18,0.96,15258.14,5110.6
C05,vitamin K phytomenadione 10mg ampoule,medicine,C,ampoule,12.0,False,21,24,558,1.41,1.98,10,18,638.96,900.0,3240.0,0.0,2,223.28,1.4,0.97,4778.96,2679.37
C06,magnesium sulfate 2g in 10mL ampoule,medicine,C,ampoule,11.0,False,14,24,841,2.12,2.68,15,54,683.96,900.0,8910.0,0.0,2,260.45,1.26,0.94,10493.96,2864.96
C07,dextrose 50 percent 50mL ampoule,medicine,C,ampoule,9.5,False,14,24,1063,2.68,3.62,12,50,734.18,900.0,7100.0,0.0,2,323.38,1.35,0.95,8734.18,3072.11
C08,charcoal activated 50g bottle,medicine,C,bottle,75.0,False,30,36,193,0.49,1.0,10,14,996.69,900.0,5250.0,0.0,2,55.59,2.06,0.93,7146.69,4168.96
