item_id,item_name,category,abc_class,used_by_specialty,unit,unit_price_zar,lead_time_mean_days,initial_stock_units,shelf_life_months,supplier_tender_cycle,total_consumption_units,mean_daily_consumption,sd_daily_consumption,orders_placed,units_ordered,total_holding_cost_zar,total_ordering_cost_zar,total_stockout_cost_zar,stockout_units,stockout_days,days,avg_stock_on_hand,service_level,cv,total_cost_zar,inventory_value_zar
B01,paracetamol paediatric suspension 120mg per 5mL 100mL,medicine,B,lowvol,bottle,28.0,14,80,18,annual,1057.0,2.669,2.814,3,1086.0,1308.688,1350.0,0.0,0.0,0,396,195.818,1.0,1.054,2658.688,5482.909
B02,salbutamol nebule 5mg per 2.5mL,medicine,B,medicine,nebule,6.5,14,250,24,annual,4902.0,12.379,11.57,3,5070.0,1524.729,1350.0,0.0,0.0,0,396,982.775,1.0,0.935,2874.729,6388.039
B03,hydrocortisone 100mg vial,medicine,B,all,vial,14.0,14,120,24,annual,2195.0,5.543,5.036,3,2313.0,1553.788,1350.0,0.0,0.0,0,396,464.985,1.0,0.909,2903.788,6509.788
B04,promethazine 25mg ampoule,medicine,B,all,ampoule,9.0,14,90,24,annual,1656.0,4.182,4.151,2,1670.0,1026.031,900.0,0.0,0.0,0,396,477.631,1.0,0.993,1926.031,4298.682
B05,atropine 1mg ampoule,medicine,B,all,ampoule,7.5,14,40,36,annual,406.0,1.025,1.385,1,456.0,468.039,450.0,0.0,0.0,0,396,261.455,1.0,1.351,918.039,1960.909
B06,plaster of Paris 15cm bandage,consumable,B,ortho,roll,18.0,21,260,60,annual,4890.0,12.348,11.659,5,6080.0,3321.941,3250.0,0.0,0.0,0,396,773.205,1.0,0.944,6571.941,13917.682
B07,sterile gauze pack 10x10 cm pack of 5,consumable,B,all,pack,7.0,14,1500,60,quarterly,31988.0,80.778,75.531,7,36227.0,5168.236,4550.0,700.0,20.0,1,396,3093.28,0.999,0.935,10418.236,21652.962
B08,three way stopcock,consumable,B,all,each,11.5,21,500,60,annual,8421.0,21.265,19.661,5,10128.0,3308.803,3250.0,0.0,0.0,0,396,1205.447,1.0,0.925,6558.803,13862.64
B09,urinary catheter Foley 16Fr,consumable,B,all,each,32.0,21,140,60,annual,2650.0,6.692,6.321,4,2827.0,3132.299,2600.0,0.0,0.0,0,396,410.098,1.0,0.945,5732.299,13123.152
B10,ECG electrodes pack of 50,consumable,B,medicine,pack,85.0,28,60,24,annual,785.0,1.982,2.174,4,941.0,2535.464,2600.0,0.0,0.0,0,396,124.972,1.0,1.097,5135.464,10622.639
B11,suture nylon 3-0 with needle,consumable,B,all,each,24.0,21,180,48,annual,4285.0,10.821,10.177,5,5009.0,3610.797,3250.0,3600.0,15.0,1,396,630.328,0.996,0.941,10460.797,15127.879
B12,Hartmanns solution 1L,medicine,B,all,bag,22.0,7,300,36,annual,6896.0,17.414,16.305,7,7666.0,3520.205,3150.0,0.0,0.0,0,396,670.379,1.0,0.936,6670.205,14748.333
C01,snake antivenom polyvalent vial,medicine,C,all,vial,1850.0,30,12,24,annual,244.0,0.616,1.026,10,268.0,10239.674,4500.0,518000.0,28.0,18,396,23.189,0.885,1.665,532739.674,42900.379
C02,ipratropium nebule 250mcg per mL 2mL,medicine,C,medicine,nebule,8.5,14,100,24,annual,1994.0,5.035,5.346,3,2854.0,989.619,1350.0,0.0,0.0,0,396,487.78,1.0,1.062,2339.619,4146.133
C03,naloxone 0.4mg ampoule,medicine,C,all,ampoule,32.0,21,18,24,annual,158.0,0.399,0.775,2,256.0,537.702,900.0,0.0,0.0,0,396,70.399,1.0,1.941,1437.702,2252.768
C04,flucloxacillin 500mg vial,medicine,C,all,vial,18.0,14,80,24,annual,1164.0,2.939,3.04,3,1441.0,1249.396,1350.0,0.0,0.0,0,396,290.806,1.0,1.034,2599.396,5234.5
C05,vitamin K phytomenadione 10mg ampoule,medicine,C,all,ampoule,12.0,21,40,24,annual,575.0,1.452,1.78,2,838.0,692.837,900.0,0.0,0.0,0,396,241.894,1.0,1.226,1592.837,2902.727
C06,magnesium sulfate 2g in 10mL ampoule,medicine,C,all,ampoule,11.0,14,60,24,annual,825.0,2.083,2.169,2,1066.0,795.258,900.0,1815.0,11.0,4,396,302.894,0.987,1.041,3510.258,3331.833
C07,dextrose 50 percent 50mL ampoule,medicine,C,all,ampoule,9.5,14,80,24,annual,1075.0,2.715,2.941,2,1323.0,904.002,900.0,0.0,0.0,0,396,398.677,1.0,1.083,1804.002,3787.429
C08,charcoal activated 50g bottle,medicine,C,all,bottle,75.0,30,15,36,annual,216.0,0.545,0.92,3,331.0,1210.196,1350.0,750.0,2.0,2,396,67.604,0.991,1.686,3310.196,5070.265
